zi,index,ini,fin,tone
一,1,x,u,3
一,1,y,i,1
一,1,y,i,2
一,1,y,i,4
丨,2,g,un,3
亅,3,j,ue,2
亅,3,zh,ui,4
丿,4,y,i,4
丿,4,p,ie,3
丶,5,zh,u,3
乀,6,f,u,2
乁,7,j,i,2
乁,7,y,i,2
乙,8,y,i,4
乙,8,j,ue,2
乙,8,y,i,3
乚,9,y,in,3
乚,9,y,i,3
乚,9,h,ao,2
乛,10,ch,en,2
乛,10,y,a,a
乛,10,y,i,3
二,11,d,eng,1
二,11,',er,4
丁,12,h,ui,4
丁,12,zh,eng,1
丁,12,d,ing,1
丅,13,m,in,2
丅,13,x,ia,4
十,14,g,ui,1
十,14,g,ui,4
十,14,sh,i,2
丆,15,h,an,3
丆,15,w,ei,3
厂,16,y,an,2
厂,16,r,ong,2
厂,16,h,an,4
厂,16,h,an,3
厂,16,ch,ang,3
厂,16,,an,1
丂,17,k,ao,3
丂,17,q,iao,3
丂,17,y,u,2
七,18,q,i,1
七,18,q,i,2
七,18,sh,ou,4
匚,19,y,a,2
匚,19,sh,u,4
匚,19,f,ang,1
匚,19,f,ang,4
匚,19,m,ai,4
匸,20,x,i,4
丄,21,sh,ang,4
刂,22,d,ao,1
刂,22,j,i,2
卜,23,p,u,1
卜,23,b,o,o
卜,23,b,u,3
冂,24,j,iong,1
冂,24,j,iong,3
亻,25,j,uan,4
亻,25,r,en,2
乂,26,,ai,4
乂,26,y,i,4
人,27,d,an,3
人,27,d,an,4
人,27,r,en,2
人,27,t,an,2
入,28,r,u,4
八,29,b,a,2
八,29,b,a,1
九,30,j,iu,1
九,30,j,iu,3
九,30,b,i,4
儿,31,y,i,2
儿,31,r,en,2
儿,31,,er,2
儿,31,d,i,4
几,32,j,i,1
几,32,j,i,3
几,32,y,a,1
勹,33,b,ao,1
匕,34,b,i,3
匕,34,p,in,4
亠,35,t,ou,2
冫,36,b,ing,1
丷,37,b,a,1
丷,37,q,un,2
冖,38,d,ou,1
冖,38,m,i,4
讠,39,y,an,2
刁,40,d,iao,1
丩,41,j,iu,1
了,42,l,iao,4
了,42,l,iao,3
了,42,l,e,e
凵,43,k,an,3
凵,43,q,ian,3
卩,44,j,ie,2
阝,45,f,u,3
阝,45,f,u,4
阝,45,s,uo,3
乃,46,n,ai,3
乃,46,,ai,3
刀,47,d,ao,1
刀,47,d,iao,1
力,48,l,i,4
乄,49,w,u,3
厶,50,m,ou,3
厶,50,s,i,1
又,51,y,ou,4
又,51,ch,ou,2
廴,52,y,in,4
廴,52,y,in,3
廴,52,x,ia,4
乜,53,m,ie,1
乜,53,n,ie,4
乜,53,y,ing,2
巜,54,f,eng,1
巜,54,h,uan,1
巜,54,k,uai,4
三,55,s,an,1
三,55,t,ui,2
亍,56,ch,u,4
于,57,w,ei,2
于,57,x,ie,1
于,57,x,u,1
于,57,y,u,1
于,57,y,u,2
干,58,g,an,1
干,58,g,an,4
干,58,,an,4
干,58,d,ui,4
亏,59,k,ui,1
亏,59,p,an,1
亏,59,y,u,2
亐,60,n,ie,4
亐,60,y,u,2
土,61,t,u,3
土,61,t,u,2
土,61,ch,a,3
土,61,d,u,4
士,62,m,ie,4
士,62,sh,i,4
工,63,g,ong,1
扌,64,sh,ou,u
扌,64,sh,ou,3
卄,65,n,ian,4
艹,66,c,ao,3
艹,66,,ao,3
艹,66,g,uo,2
才,67,z,ai,1
才,67,c,ai,2
下,68,x,ia,4
下,68,j,ie,4
寸,69,c,un,3
寸,69,c,un,4
寸,69,zh,u,4
丌,70,j,i,1
丌,70,q,i,2
廾,71,g,ong,3
廾,71,n,uo,4
丈,72,y,ou,2
丈,72,zh,ang,4
大,73,t,ai,4
大,73,d,a,4
大,73,d,ai,4
兀,74,w,u,1
兀,74,w,u,4
尢,75,sh,an,4
尢,75,w,ang,1
尢,75,y,ou,2
与,76,y,u,4
与,76,y,u,3
与,76,k,e,3
与,76,h,ai,4
与,76,y,u,2
万,77,m,o,4
万,77,w,an,4
夨,78,c,e,4
夨,78,n,u,2
夨,78,z,e,4
弋,79,y,i,4
弋,79,l,i,2
上,80,d,ai,4
上,80,sh,ang,3
上,80,sh,ang,4
小,81,x,iao,3
凣,82,f,an,2
口,83,k,ou,3
囗,84,g,uo,2
囗,84,w,ei,2
山,85,sh,an,1
巾,86,j,in,1
千,87,q,ian,1
乇,88,l,i,4
乇,88,t,uo,1
乇,88,zh,e,2
乞,89,ch,e,4
乞,89,q,i,3
乞,89,q,i,4
川,90,ch,uan,1
亿,91,y,i,4
彳,92,ch,i,4
彳,92,f,u,2
彳,92,q,i,4
彡,93,sh,an,1
彡,93,x,ian,3
凢,94,f,an,2
亼,95,j,i,2
亼,95,l,u,4
个,96,g,e,4
个,96,g,e,3
个,96,ch,i,4
个,96,g,an,4
乊,97,x,i,1
乊,97,y,i,1
亽,98,j,i,2
亾,99,,ao,4
亾,99,w,ang,2
兦,100,l,ei,4
兦,100,w,ang,2
亇,101,b,ian,4
亇,101,g,e,4
亇,101,m,a,a
亇,101,m,a,1
犭,102,q,uan,3
犭,102,y,in,1
丸,103,w,an,2
丸,103,y,i,4
久,104,j,iu,3
么,105,l,i,4
么,105,m,a,a
么,105,m,e,e
么,105,m,o,2
么,105,y,ao,1
凡,106,f,an,2
勺,107,zh,uo,2
