zi,chaizi
二,"['一', '一']"
丁,"['一', '亅']"
丅,"['一', '丨']"
十,"['一', '丨']"
厂,"['一', '丿']"
丂,"['一', '乙']"
七,"['一', '乚']"
七,"['丿', '乚']"
丄,"['丨', '一']"
刂,"['丨', '亅']"
卜,"['丨', '丶']"
冂,"['丨', '乙']"
亻,"['丿', '丨']"
乂,"['乀', '丿']"
人,"['丿', '乀']"
入,"['乁', '丿']"
八,"['丿', '乁']"
九,"['丿', '乙']"
儿,"['丿', '乚']"
几,"['丿', '一', '乚']"
勹,"['丿', '㇆']"
匕,"['乚', '丿']"
亠,"['丶', '一']"
冫,"['丶', '丿']"
丷,"['丶', '丿']"
冖,"['丶', '乛']"
讠,"['丶', '一', '二', '口', '訁']"
了,"['乛', '亅']"
凵,"['丨', '一', '丨']"
卩,"['丨', '㇆']"
乃,"['丿', '㇆', '㇆']"
刀,"['㇆', '丿']"
力,"['丿', '㇆']"
厶,"['𠃊', '丶']"
乜,"['卩', '乚']"
三,"['一', '一', '一']"
三,"['一', '二']"
亍,"['一', '丁']"
于,"['二', '亅']"
干,"['一', '十']"
亏,"['一', '丂']"
亐,"['一', '丂']"
土,"['十', '一']"
士,"['十', '一']"
工,"['二', '丨']"
工,"['一', '丨', '一']"
扌,"['一', '亅', '丿']"
卄,"['十', '丨']"
卄,"['一', '丨', '丨']"
艹,"['一', '丨', '丨']"
才,"['一', '亅', '丿']"
下,"['一', '卜']"
下,"['一', '丨', '丶']"
寸,"['一', '亅', '丶']"
丌,"['一', '丿', '丨']"
廾,"['一', '丿', '丨']"
丈,"['一', '乂']"
大,"['人', '一']"
兀,"['一', '儿']"
尢,"['一', '丿', '乚']"
尢,"['一', '人']"
与,"['一', '㇉', '一']"
万,"['一', '刀']"
万,"['一', '勹']"
夨,"['𠃊', '大']"
弋,"['一', '乁', '丶']"
上,"['丶', '丨', '一']"
上,"['一', '丨', '一']"
小,"['八', '亅']"
凣,"['丨', '几']"
凣,"['丶', '几']"
口,"['丨', '乛', '一']"
口,"['冂', '一']"
囗,"['冂', '一']"
囗,"['丨', '乛', '', '一']"
山,"['凵', '丨']"
巾,"['冂', '丨']"
千,"['丿', '十']"
乇,"['丿', '七']"
乞,"['丿', '一', '乙']"
川,"['丿', '丨', '丨']"
亿,"['人', '乙']"
亿,"['亻', '乙']"
彳,"['丿', '人']"
彳,"['丿', '亻']"
彡,"['丿', '丿', '丿']"
凢,"['丶', '几']"
亼,"['人', '一']"
个,"['人', '丨']"
亾,"['丨', '一', '人']"
兦,"['丨', '一', '入']"
犭,"['丶', '亅', '丿']"
丸,"['丶', '九']"
久,"['丿', '入']"
么,"['丿', '厶']"
凡,"['几', '丶']"
勺,"['勹', '丶']"
及,"['乃', '乀']"
夂,"['丿', '丿', '乀']"
夕,"['丿', '丿', '丶']"
饣,"['人', '良', '飠']"
丬,"['冫', '丨']"
广,"['丶', '一', '丿']"
亡,"['丶', '匸']"
门,"['丶', '丨', '㇆']"
丫,"['丶', '丶', '丨']"
义,"['丶', '乂']"
氵,"['丶', '丶', '丿']"
宀,"['丶', '冖']"
卂,"['乁', '十']"
尸,"['㇆', '一', '丿']"
己,"['㇆', '一', '乚']"
已,"['㇆', '一', '乚']"
巳,"['㇆', '一', '乚']"
弓,"['㇆', '一', '㇉']"
卫,"['卩', '一']"
子,"['了', '一']"
孑,"['了', '丿']"
孒,"['了', '一']"
屮,"['凵', '丨']"
卪,"['卩', '丶']"
孓,"['了', '乀']"
也,"['卩', '丨', '乚']"
女,"['𠃊', '一', '丿']"
乆,"['𠃊', '人']"
刃,"['刀', '丶']"
刄,"['刀', '乀']"
飞,"['乙', '丷']"
劜,"['力', '乚']"
习,"['刁', '丶']"
叉,"['又', '丶']"
乡,"['𠃋', '𠃋', '丿']"
幺,"['𠃊', '厶']"
亖,"['二', '二']"
丰,"['丿', '二', '丨']"
丰,"['三', '丨']"
王,"['一', '土']"
王,"['一', '一', '丨', '一']"
王,"['二', '丄']"
王,"['二', '十']"
王,"['三', '丨']"
亓,"['一', '丌']"
井,"['二', '丿', '丨']"
开,"['一', '廾']"
天,"['一', '大']"
夫,"['二', '人']"
夫,"['一', '大']"
元,"['二', '儿']"
无,"['一', '尢']"
韦,"['二', '㇆', '丨']"
专,"['二', '丨', '龴']"
云,"['二', '厶']"
弌,"['弋', '一']"
耂,"['土', '丿']"
圡,"['土', '丶']"
丐,"['正', '丿']"
丐,"['下', '勹']"
圠,"['土', '乚']"
