zi,wuma
去,qv
我,wu
二,er
人,rw
他,ta
他,tu
一,yi
是,ui
是,ti
出,vu
哦,oo
哦,ee
平,pk
平,pj
平,bk
平,br
啊,aa
啊,ee
三,sf
的,de
的,di
非,fz
个,ge
个,gf
和,he
和,hu
就,jb
可,ke
可,ge
了,le
了,lq
小,xq
才,cd
才,zd
这,ie
这,iz
不,bu
不,fo
不,fu
你,ni
没,mz
没,mo
没,me
阿,aa
阿,ee
爱,ai
安,an
昂,gg
昂,ym
奥,ao
奥,yv
奥,yb
把,ba
把,pa
白,bd
白,bo
办,bf
帮,bg
报,bh
被,bz
被,bi
被,pi
本,bw
蹦,br
比,bi
比,pi
边,bj
表,bq
别,bp
滨,bl
并,bk
拨,bo
部,bu
部,po
擦,ca
菜,cd
参,cf
参,cw
参,uw
藏,cg
藏,zg
草,ch
草,zh
测,ce
岑,cw
曾,cr
曾,zr
拆,vd
拆,ve
拆,vi
拆,ca
产,vf
超,vh
超,tq
车,ve
车,jv
陈,vw
成,vr
吃,vi
吃,qi
冲,vn
抽,vo
处,vu
揣,vk
揣,du
揣,iv
揣,tr
传,vr
传,ir
窗,vs
窗,cn
吹,vv
纯,vy
戳,vu
次,ci
次,zi
差,va
差,vd
差,ci
差,cu
差,jp
从,cn
从,zn
凑,co
粗,cu
窜,cr
催,cv
村,cy
错,cu
大,da
大,dd
大,td
代,dd
但,df
但,tf
但,yj
当,dg
到,dh
得,de
得,dz
等,dr
地,di
地,de
点,dj
跌,dp
跌,tu
定,dk
丢,db
动,dn
都,do
都,du
读,du
读,do
段,dr
对,dv
顿,dy
顿,du
多,du
额,ee
欸,ai
欸,êê
欸,xp
欸,ei
恩,en
嗯,en
而,er
而,nr
法,fa
反,ff
放,fg
费,fz
分,fw
风,fr
佛,fu
佛,fo
佛,bo
佛,bi
否,fo
否,pi
副,fu
副,pi
嘎,ga
该,gd
干,gf
干,an
刚,gg
高,gh
各,ge
给,gz
给,ji
跟,gw
更,gr
共,gn
共,hn
够,go
古,gu
古,ku
挂,gc
怪,gk
关,gr
光,gs
贵,gv
滚,gy
过,gu
哈,ha
哈,he
哈,ta
哈,ua
还,hd
还,hr
还,fu
含,hf
行,xk
行,hg
行,hr
好,hh
何,he
黑,hz
很,hw
横,hr
横,gs
横,hs
红,hn
红,gn
后,ho
户,hu
话,hc
坏,hk
坏,pi
坏,pz
换,hr
黄,hs
会,hv
会,kk
混,hy
混,gy
混,ky
或,hu
或,yv
几,ji
加,jx
间,jj
将,jm
将,qm
叫,jq
接,jp
接,xp
接,ua
接,va
进,jl
经,jk
久,jb
据,jv
卷,jr
卷,qr
卷,gy
卷,jy
均,jy
均,yy
卡,ka
卡,qx
开,kd
看,kf
抗,kg
抗,gg
靠,kh
克,ke
剋,ke
剋,kz
肯,kw
坑,kr
坑,kg
空,kn
口,ko
酷,ku
夸,kc
快,kk
宽,kr
况,ks
亏,kv
亏,yv
困,ky
扩,ku
拉,la
来,ld
浪,lg
老,lh
月,yt
月,ru
乐,le
乐,yt
类,lz
冷,lr
冷,lk
里,li
连,lj
两,lm
料,lq
列,lp
列,li
林,ll
另,lk
刘,lb
龙,ln
楼,lo
路,lu
乱,lr
论,ly
落,lu
落,la
落,lh
率,lv
率,uk
率,lt
吗,ma
买,md
慢,mf
忙,mg
毛,mh
么,me
么,yq
么,mo
么,ma
每,mz
们,mw
梦,mr
米,mi
面,mj
秒,mq
灭,mp
民,ml
名,mk
末,mo
末,me
某,mo
某,mz
目,mu
那,na
那,nu
那,nz
那,ne
那,nd
难,nf
囊,ng
闹,nh
呢,ne
呢,ni
内,nz
内,na
内,rv
嫩,nw
能,nr
能,td
能,nd
能,xn
泥,ni
泥,np
泥,nk
年,nj
年,nk
鸟,nq
鸟,dq
捏,np
您,nl
宁,nk
宁,iu
牛,nb
弄,nn
弄,ln
怒,nu
暖,nr
暖,xr
虐,nt
挪,nu
女,nv
女,ru
欧,ou
怕,pa
怕,bo
排,pd
排,bd
盘,pf
旁,pg
旁,pr
旁,br
旁,bg
跑,ph
跑,bo
配,pz
盆,pw
碰,pr
批,pi
片,pj
片,pf
票,pq
撇,pp
撇,bp
品,pl
凭,pk
破,po
剖,po
普,pu
其,qi
其,ji
恰,qx
前,qj
前,jj
强,qm
强,jm
桥,qq
且,qp
且,jv
且,cu
请,qk
亲,ql
亲,qk
穷,qn
求,qb
区,qv
区,ou
全,qr
却,qt
群,qy
然,rf
让,rg
绕,rh
热,re
任,rw
任,ll
仍,rr
日,ri
容,rn
容,yn
肉,ro
肉,ru
如,ru
软,rr
若,ru
若,re
撒,sa
赛,sd
散,sf
扫,sh
色,se
色,ud
森,sw
僧,sr
僧,cr
啥,ua
晒,ud
山,uf
上,ug
少,uh
设,ue
深,uw
生,ur
时,ui
受,uo
受,dh
帅,uk
拴,ur
拴,qr
双,us
水,uv
顺,uy
四,si
送,sn
搜,so
搜,xq
搜,uh
苏,su
算,sr
岁,sv
所,su
她,ta
她,jp
她,vi
太,td
太,ta
谈,tf
汤,tg
汤,ug
套,th
特,te
疼,tr
体,ti
体,bw
体,cv
天,tj
调,dq
调,tq
贴,tp
听,tk
听,yl
听,yi
同,tn
头,to
图,tu
团,tr
团,qb
推,tv
托,tu
挖,wc
外,wk
完,wr
完,kr
王,ws
王,yv
为,wv
问,wy
翁,wt
喔,oo
喔,wu
握,wu
握,ou
无,wu
无,mo
系,xi
系,ji
下,xx
先,xj
想,xm
笑,xq
些,xp
些,su
新,xl
熊,xn
修,xb
需,xv
需,nu
需,ru
需,rr
选,xr
学,xt
亚,yx
眼,yj
眼,wy
样,ym
要,yq
也,yp
也,yi
以,yi
以,si
因,yl
应,yk
哟,yo
用,yn
有,yb
有,wv
与,yv
元,yr
云,yy
咋,za
咋,ze
咋,ia
再,zd
早,zh
则,ze
贼,zz
怎,zw
增,zr
增,cr
扎,ia
扎,za
占,if
占,tp
长,ig
长,vg
找,ih
找,hc
着,ie
着,ih
着,iu
真,iw
正,ir
只,ii
中,in
周,io
主,iu
抓,ic
拽,ik
拽,yp
转,ir
转,ik
装,is
追,iv
追,dv
追,tv
桌,iu
字,zi
总,zn
走,zo
组,zu
最,zv
最,cu
做,zu
