ZI,JIANMA
一,yif
一,yig
一,yij
爲,wvj
爲,wvg
龍,lng
龍,mgg
了,leb
了,lqh
了,lqj
二,erj
人,rwg
入,ruj
八,baf
八,bag
力,lij
十,uig
又,yoj
三,sff
上,ugj
上,ugh
下,xaj
个,gej
个,geh
个,gfj
久,joh
义,yij
之,iif
之,iuf
之,iij
也,yph
也,yig
及,jig
口,koh
士,uij
大,daj
大,ddj
大,tdj
女,nvh
女,nvj
女,ruh
子,zib
子,zih
小,xqh
山,uff
工,gnf
己,jih
己,qih
已,yih
已,sij
才,cdg
才,zdf
门,mwg
飞,fzf
马,mah
不,buj
不,foh
不,fof
不,fuf
不,bug
专,irf
中,inf
中,inj
为,wvj
为,wvg
书,uuf
五,wuh
什,uwg
什,uig
今,jlf
从,cng
从,znj
以,yih
以,sij
元,yrg
內,nzj
公,gnf
六,loj
六,luj
凤,frj
分,fwf
分,fwj
分,fwg
办,bfj
化,hcj
化,hcf
化,huj
区,qvf
区,ouf
友,yoh
反,ffh
反,ffj
天,tjf
太,tdj
太,taf
少,uhh
少,uhj
开,kdf
引,ylh
心,xlf
手,uoh
支,iif
支,iij
支,qig
文,wyg
方,fgf
方,fgg
方,fgh
方,pgg
方,wsh
方,frf
无,wug
无,mog
日,rij
月,ytj
月,ruj
比,bih
比,bij
比,pig
比,pih
水,uvh
片,pjj
片,pjf
片,pfj
王,wsg
王,wsj
王,yvj
见,jjj
见,xjj
计,jij
认,rwj
车,vef
车,jvf
长,igh
长,vgg
队,dvj
风,frf
且,qph
且,jvf
且,cug
世,uij
业,ypj
东,dnf
主,iuh
主,iuj
乎,huf
乐,lej
乐,ytj
他,taf
他,tug
代,ddj
们,mwb
们,mwg
兄,xnf
兄,ksj
写,xph
写,xpj
出,vuf
功,gnf
加,jaf
务,wuj
北,bzh
北,bzj
卡,kah
卡,qah
去,qvj
去,qvf
发,faf
发,faj
另,lkj
叫,jqj
可,keh
可,kej
可,gef
台,tdg
台,tdf
台,yig
台,sij
号,hhj
号,hhg
号,xqf
四,sij
处,vuj
处,vuh
外,wkj
央,ymf
央,ykf
失,uif
失,yij
头,tog
头,tob
它,taf
它,tug
它,yig
对,dvj
市,uij
市,fug
平,pkg
平,pjg
平,bkj
平,brf
必,bij
打,dah
打,dag
未,wvj
本,bwh
本,bwf
正,irj
正,irf
民,mlg
生,urf
用,ynj
由,yog
由,yqf
电,djj
白,bdg
白,bog
目,muj
立,lij
立,wvj
讨,thh
让,rgj
议,yij
讯,xyj
记,jij
边,bjf
边,bjb
龙,lng
买,mdh
交,jqf
件,jjj
件,mog
任,rwj
任,rwg
任,llj
份,fwj
份,blf
会,hvj
会,kkj
传,vrg
传,irj
似,uij
似,sij
先,xjf
光,gsf
光,gsj
全,qrg
共,gnj
共,gnf
共,gnh
共,hng
关,grf
兴,xkf
兴,xkj
再,zdj
军,jyf
则,zeg
动,dnj
华,hcg
华,hcj
华,hcf
吃,vif
吃,qif
各,gej
各,geh
合,heg
合,geh
同,tng
同,tnj
名,mkg
名,mkj
向,xmj
吗,mab
吗,mag
吗,mah
回,hvg
因,ylf
在,zdj
地,dij
地,deb
场,vgh
场,vgg
多,duf
她,taf
她,jph
她,vig
好,hhh
好,hhj
如,rug
字,zij
安,anf
师,uif
年,njg
年,nkj
式,uij
式,tej
当,dgf
当,dgj
成,vrg
收,uof
有,yoh
有,yoj
有,wvh
权,qrg
次,cij
次,zif
次,cig
欢,hrf
此,cih
死,sih
竹,iug
级,jig
老,lhh
考,khh
而,erg
而,nrg
自,zij
至,iij
至,dpg
色,sej
色,udh
行,xkg
行,hgg
行,hrg
行,xkj
行,hgj
西,xif
观,grf
观,grj
讲,jmh
许,xvh
许,huh
论,lyj
论,lyg
设,uej
过,guj
过,guf
那,naj
那,naf
那,nug
那,nuj
那,nzj
那,nah
那,nzh
那,neg
那,ndh
那,nej
问,wyj
两,lmh
但,dfj
但,tfh
但,yjj
位,wvj
位,lij
住,iuj
何,heg
何,hej
作,zuj
作,zuf
作,zug
你,nih
別,bpg
利,lij
即,jig
否,foh
否,pih
吧,bab
吧,baf
吧,paf
告,ghj
告,jvf
告,guj
员,yrg
员,yyj
员,yyg
声,urf
声,qkj
完,wrg
完,krf
希,xif
应,ykf
应,ykj
弟,dij
弟,tij
弟,tvg
张,igf
形,xkg
快,kkj
我,wuh
找,ihh
找,hcg
把,bah
把,baj
把,pag
投,tog
投,doj
报,bhj
改,gdh
时,uig
更,grj
更,grf
李,lih
来,ldg
每,mzh
求,qog
決,jtg
決,qtf
決,xtj
沒,mzg
男,nfg
社,uej
究,jof
究,joj
系,xij
系,jij
花,hcf
見,jjj
見,xjj
言,yjg
言,yjj
言,ylg
识,uig
识,uij
识,iij
诉,suj
走,zoh
身,uwf
身,jrf
車,vef
車,jvf
运,yyj
运,yyh
近,jlj
还,hdg
还,hrg
还,fug
这,iej
这,izj
进,jlj
