zi,wuma
一,yifaa
二,drfaa
二,erjaa
丁,hvjag
丁,irfag
丁,dkfag
丅,mlgal
丅,xxjal
十,gvfal
十,gvjal
十,uigal
厂,yfgap
厂,rngap
厂,hfjap
厂,hfhap
厂,vghap
厂,fffap
丂,khhay
丂,qqhay
丂,yugay
七,qifay
七,qigay
七,uojay
七,qifpy
七,qigpy
七,uojpy
丄,ugjla
刂,dhflg
刂,jiglg
卜,pufld
卜,bobld
卜,buhld
冂,jnfly
冂,jnhly
亻,jrjpl
亻,rwgpl
乂,aijnp
乂,yijnp
人,dfhpn
人,dfjpn
人,rwgpn
人,tfgpn
入,rujjp
八,bagpj
八,bafpj
九,jbfpy
九,jbhpy
九,bijpy
儿,yigpy
儿,rwgpy
儿,ergpy
儿,dijpy
几,jifpa
几,jihpa
几,yafpa
勹,bhfpg
匕,bihyp
匕,pljyp
亠,togda
冫,bkfdp
丷,bafdp
丷,qygdp
冖,dofdv
冖,mijdv
讠,yfgda
了,lqjvg
了,lqhvg
了,lebvg
凵,kfhla
凵,qjhla
卩,jpglg
乃,ndhpg
乃,aihpg
刀,dhfgp
刀,dqfgp
力,lijpg
厶,mohgd
厶,sifgd
乜,mpfey
乜,npjey
乜,ykgey
三,sffaa
三,tvgaa
三,sffad
三,tvgad
亍,vujah
于,wzgdg
于,xpfdg
于,xufdg
于,yufdg
于,yugdg
干,gffau
干,gfjau
干,ffjau
干,dvjau
亏,kvfak
亏,pffak
亏,yugak
亐,npjak
亐,yugak
土,tuhua
土,tugua
土,vahua
土,dujua
士,mpjua
士,uijua
工,gnfdl
工,gnfal
扌,uobag
扌,uohag
卄,njjul
卄,njjal
艹,chhal
艹,aohal
艹,gugal
才,zdfag
才,cdgag
下,xxjap
下,jpjap
下,xxjal
下,jpjal
寸,cyhag
寸,cyjag
寸,iujag
丌,jifap
丌,qigap
廾,gnhap
廾,nujap
丈,yogay
丈,igjay
大,tdjra
大,dajra
大,ddjra
兀,wufay
兀,wujay
尢,ufjap
尢,wgfap
尢,yogap
尢,ufjar
尢,wgfar
尢,yogar
与,yujag
与,yuhag
与,kehag
与,hdjag
与,yugag
万,mojad
万,wfjad
万,mojab
万,wfjab
夨,cejgd
夨,nuggd
夨,zejgd
弋,yijaj
弋,ligaj
上,ddjdl
上,ughdl
上,ugjdl
上,ddjal
上,ughal
上,ugjal
小,xqhbg
凣,ffglj
凣,ffgdj
口,kohlv
口,kohka
囗,gugka
囗,wzgka
囗,guglv
囗,wzglv
山,uffkl
巾,jlfkl
千,qjfpu
乇,lijpq
乇,tufpq
乇,iegpq
乞,vejpa
乞,qihpa
乞,qijpa
川,vrfpl
亿,yijry
彳,vijpr
彳,fugpr
彳,qijpr
彡,uffpp
彡,xjhpp
凢,ffgdj
亼,jigra
亼,lujra
个,gejrl
个,gehrl
个,vijrl
个,gfjrl
亾,aojla
亾,wggla
兦,lzjla
兦,wggla
犭,qrhdg
犭,ylfdg
丸,wfgdj
丸,yijdj
久,jbhpr
么,lijps
么,mabps
么,mebps
么,mogps
么,yhfps
凡,ffgjd
勺,iugbd
勺,uujbd
勺,dijbd
勺,uhgbd
及,jignn
及,iijnn
夂,nqhpp
夂,iihpp
夂,infpp
夕,yijpp
夕,xifpp
饣,uigrl
饣,yhgrl
丬,pfgdl
丬,qmgdl
丬,ukfdl
广,fffda
广,gshda
广,yfhda
亡,wugdx
亡,wggdx
门,mwgdl
丫,yafdd
丫,yyjdd
义,yijdy
氵,uvbdd
氵,uvhdd
宀,mjgdb
卂,xyjju
尸,uifga
己,fujga
己,jihga
己,qihga
已,sijga
已,yihga
巳,yihga
巳,sijga
弓,gnfga
弓,bzjga
卫,lggea
卫,wzjea
子,lvjla
子,zibla
子,zihla
孑,jpglp
孑,qbglp
孒,dyjla
孒,jtgla
屮,chhkl
屮,vejkl
卪,jpged
卪,idjed
孓,bhgln
孓,jtgln
也,yigel
也,yehel
女,nvjga
女,ruhga
女,krfga
女,nvhga
乆,jbhgr
刃,rwjdd
刄,vsjdn
刄,rwjdn
飞,fzfyb
飞,sajyb
飞,yijyb
劜,yajly
习,xigdd
叉,vafyd
叉,vagyd
叉,vahyd
叉,vajyd
乡,iafgg
乡,xmfgg
幺,kgfgs
幺,mijgs
幺,yhfgs
亖,mlhdd
亖,sijdd
丰,frfpd
丰,frfsl
王,yujat
王,wggat
王,wgjat
王,yujaa
王,wggaa
王,wgjaa
王,yujdu
王,wggdu
王,wgjdu
王,yujsl
王,wggsl
王,wgjsl
亓,bpgaa
亓,qigaa
井,jkhdp
井,fzjdp
井,jkjdp
开,zugag
开,kdfag
天,tjfad
天,mghad
夫,fufdr
夫,fugdr
夫,fufad
夫,fugad
元,yrgdy
无,mogau
无,wugau
韦,jpgdg
韦,wzgdg
专,irfdl
专,iihdl
云,yygds
弌,yifya
耂,lhhtp
圡,tuhtd
丐,gdjip
丐,gdjxb
圠,yajty
扎,iahuy
扎,iaguy
扎,iafuy
扎,zafuy
扎,svfuy
扎,iahoy
扎,iagoy
扎,iafoy
扎,zafoy
扎,svfoy
廿,ligak
廿,njjak
艺,yijzy
艺,yijqy
艺,yijcy
木,mujur
木,mujub
木,mujax
朩,drhax
五,uejdl
五,wuhdl
巿,fugaj
巿,pogaj
帀,zafpj
帀,zafaj
邒,yijhk
邒,aijhk
邒,tkghk
邒,yijhe
邒,aijhe
邒,tkghe
支,iijuy
支,iifuy
支,uajuy
支,qiguy
厅,grfvh
厅,tkfvh
卅,grfva
卅,sajva
不,fufap
不,fohap
不,bugap
不,bujap
不,fofap
冇,mhhap
仄,svjvr
仄,zejvr
太,tdjdd
