xiaozi,key
歺,c
歺,j
卢,l
业,y
旧,j
旧,d
且,c
且,j
且,q
旦,d
甲,j
申,u
申,t
号,i
号,x
号,h
由,y
只,k
只,i
央,y
另,l
冊,c
凹,w
凹,a
生,u
失,h
失,k
失,u
失,y
矢,u
乍,z
乍,i
丘,q
付,f
付,y
代,d
他,b
他,t
斥,i
斥,v
瓜,g
令,l
氐,d
氐,i
尔,e
句,q
句,j
句,g
匆,c
匆,i
册,c
册,j
册,i
卯,m
卯,q
处,v
冬,d
夗,d
夗,w
夗,y
刍,v
包,b
包,f
包,p
包,y
主,i
主,n
玄,m
玄,w
玄,x
半,p
半,b
氿,g
氿,j
氿,q
必,b
必,u
永,x
永,y
司,c
司,s
民,m
弗,f
疋,p
疋,u
疋,y
出,v
氶,v
氶,i
奴,n
奴,y
加,j
召,u
召,i
皮,p
圣,u
圣,k
对,d
台,y
台,s
台,t
台,i
癶,b
癶,y
矛,m
母,w
母,m
母,i
丝,s
匡,k
匡,w
耒,l
邦,b
幵,v
幵,j
幵,q
刑,h
刑,x
圭,g
寺,u
寺,s
卋,h
卋,u
卋,x
卋,z
吉,j
考,k
老,l
巩,z
巩,g
执,y
执,i
共,h
共,g
亚,y
亘,g
亘,x
亘,y
臣,v
襾,y
覀,y
覀,x
朿,c
厌,y
有,w
有,y
百,q
百,b
百,m
而,e
而,n
夸,k
夸,w
灰,h
列,b
列,l
成,v
夹,g
夹,j
夹,y
尧,y
至,d
至,i
尗,u
此,c
光,g
曲,q
曲,j
同,t
吕,y
吕,l
因,y
岁,s
岁,l
岂,b
岂,k
岂,q
网,j
网,w
肉,r
朱,u
朱,x
朱,i
先,x
廷,t
休,x
臼,j
臼,l
伐,f
伐,g
伐,h
延,y
任,l
任,r
自,z
血,x
向,x
向,y
囟,p
囟,x
后,h
行,x
行,n
行,h
会,h
会,k
会,l
杀,u
合,g
合,h
兆,i
兇,x
兊,d
兊,r
兊,y
朵,d
危,z
危,w
旬,j
旬,x
匈,x
匈,j
舛,v
各,g
多,d
壮,i
冰,b
冰,n
亦,y
齐,j
齐,q
齐,i
齐,z
交,j
次,c
次,z
衣,y
亥,h
亥,j
羊,d
羊,x
羊,y
并,b
并,q
关,g
屰,j
屰,n
屰,p
汙,y
汙,w
汎,f
汤,t
汤,u
兴,x
安,a
军,j
军,x
聿,v
聿,y
聿,i
寻,x
艮,g
艮,h
艸,q
艸,c
防,f
丞,v
丞,u
丞,i
如,r
好,q
好,h
劦,l
劦,x
羽,y
羽,j
羽,h
牟,t
牟,m
厽,l
叒,r
叒,w
寿,u
麦,m
镸,v
赤,v
赤,x
折,h
折,u
折,t
折,i
孝,m
孝,x
壳,k
壳,q
声,b
声,q
声,u
芬,f
芯,x
克,k
巫,j
巫,w
孛,b
車,v
車,j
車,y
甫,p
甫,f
更,g
束,v
束,u
吾,w
吾,y
豆,d
酉,y
酉,i
丽,l
医,y
医,l
辰,v
辰,q
丣,y
豕,g
豕,u
来,v
来,l
来,i
步,b
步,y
卤,x
卤,l
肖,x
呈,t
呈,k
呈,v
貝,b
县,x
里,l
呆,b
呆,d
男,j
男,n
肙,y
串,g
串,q
串,v
串,i
员,y
呙,w
呙,g
呙,h
囧,j
囧,i
告,g
告,j
我,w
利,l
秃,j
秃,t
每,m
每,w
攸,g
攸,y
伸,u
你,n
囱,b
囱,v
囱,c
役,c
役,y
辵,v
余,y
余,t
余,x
希,x
佥,l
佥,q
釆,b
坐,z
谷,g
谷,l
谷,y
寽,l
孚,m
孚,f
豸,c
豸,i
含,h
龟,g
龟,j
龟,q
免,w
免,m
狄,d
狄,t
卵,k
卵,l
言,y
訁,y
亩,m
亨,h
亨,p
亨,x
辛,v
辛,q
辛,x
闲,x
闲,i
羌,q
兑,y
兑,r
兑,d
弟,t
弟,d
洰,j
沙,s
沙,u
沂,y
宏,d
宏,h
灾,l
灾,z
良,l
君,j
即,j
即,n
尾,w
尾,y
尾,i
阿,t
阿,a
壯,y
壯,i
邵,u
邵,d
甬,y
甬,d
矣,g
矣,x
矣,y
夋,q
夋,i
武,w
青,j
青,q
规,g
者,y
者,i
坴,l
幸,x
幸,n
幸,b
其,j
其,q
取,q
取,u
昔,c
昔,j
昔,x
若,r
若,b
苜,m
苗,m
苗,n
苑,g
苑,y
直,i
苔,t
苔,j
苔,k
林,l
林,g
析,s
析,x
或,h
或,y
叀,h
叀,i
卧,w
臤,q
臤,x
事,u
事,z
卖,m
奇,j
奇,q
奇,y
奄,y
豖,v
妻,q
斩,l
斩,i
兓,z
兓,y
兓,q
兓,j
非,c
非,f
叔,u
卓,k
卓,y
卓,i
虎,t
虎,h
尚,v
尚,u
果,g
果,l
昛,j
昆,h
昆,k
冐,m
明,m
易,y
典,d
典,j
典,t
呴,h
呴,x
呴,g
呴,y
制,i
知,i
垂,v
垂,i
物,b
物,w
乖,g
和,h
委,p
委,w
臾,k
臾,y
兒,e
兒,f
兒,n
侃,k
帛,b
卑,b
卑,p
阜,t
阜,f
征,i
舍,u
金,j
釒,j
肴,c
肴,y
采,c
采,h
受,d
受,u
乳,r
念,m
念,n
朋,p
朋,i
肥,b
肥,f
周,n
周,i
臽,l
臽,x
备,b
炙,i
炙,x
京,j
享,x
享,s
府,f
府,n
卒,c
卒,z
庚,g
庚,x
