zi,key
二,aa
丁,ag
丅,al
十,al
厂,ap
丂,ay
七,ay
七,py
丄,la
刂,lg
卜,ld
冂,ly
亻,pl
乂,np
人,pn
入,jp
八,pj
九,py
儿,py
几,pa
勹,pg
匕,yp
亠,da
冫,dp
丷,dp
冖,dv
讠,da
了,vg
凵,la
卩,lg
乃,pg
刀,gp
力,pg
厶,gd
乜,ey
三,aa
三,ad
亍,ah
于,dg
干,au
亏,ak
亐,ak
土,ua
士,ua
工,dl
工,al
扌,ag
卄,ul
卄,al
艹,al
才,ag
下,ap
下,al
寸,ag
丌,ap
廾,ap
丈,ay
大,ra
兀,ay
尢,ap
尢,ar
与,ag
万,ad
万,ab
夨,gd
弋,aj
上,dl
上,al
小,bg
凣,lj
凣,dj
口,lv
口,ka
囗,ka
囗,lv
山,kl
巾,kl
千,pu
乇,pq
乞,pa
川,pl
亿,ry
彳,pr
彡,pp
凢,dj
亼,ra
个,rl
亾,la
兦,la
犭,dg
丸,dj
久,pr
么,ps
凡,jd
勺,bd
及,nn
夂,pp
夕,pp
饣,rl
丬,dl
广,da
亡,dx
门,dl
丫,dd
义,dy
氵,dd
宀,db
卂,ju
尸,ga
己,ga
已,ga
巳,ga
弓,ga
卫,ea
子,la
孑,lp
孒,la
屮,kl
卪,ed
孓,ln
也,el
女,ga
乆,gr
刃,dd
刄,dn
飞,yb
劜,ly
习,dd
叉,yd
乡,gg
幺,gs
亖,dd
丰,pd
丰,sl
王,at
王,aa
王,du
王,sl
亓,aa
井,dp
开,ag
天,ad
夫,dr
夫,ad
元,dy
无,au
韦,dg
专,dl
云,ds
弌,ya
耂,tp
圡,td
丐,ip
丐,xb
圠,ty
扎,uy
扎,oy
廿,ak
艺,zy
艺,qy
艺,cy
木,ur
木,ub
木,ax
朩,ax
五,dl
巿,aj
帀,pj
帀,aj
邒,hk
邒,he
支,uy
厅,vh
卅,va
不,ap
冇,ap
仄,vr
太,dd
犬,dd
区,ky
区,xy
历,vl
厷,ap
友,ap
尤,ud
尤,ap
歹,ax
匹,xy
匹,ky
厄,ve
厄,vj
车,ag
戸,ao
巨,kv
巨,xg
牙,ma
屯,pk
戈,aj
兂,vu
兂,xp
旡,xp
旡,vu
比,bb
互,aj
切,qd
卝,al
止,dl
攴,py
少,xp
尐,xn
冄,kd
日,kd
日,ka
曰,rd
曰,ra
中,kl
乢,uy
内,kr
冈,ky
水,vg
罓,by
贝,kr
见,kp
禸,ks
午,pg
手,pd
牛,pa
毛,pa
气,va
气,pa
壬,pm
牜,pu
升,ql
升,pu
夭,pd
攵,pa
仁,rd
什,ru
仃,rh
片,up
仆,rp
仈,rb
仇,rj
仉,rj
化,rb
币,aj
币,pj
仂,rl
仍,rn
仅,ry
仏,rs
斤,vm
爪,vl
丯,lp
反,vy
仐,ru
兮,bk
刈,yd
介,rp
仌,rr
从,rr
父,by
爻,yy
仑,rb
尣,by
爫,px
爫,pd
仒,rb
仒,rn
仒,rd
今,rd
凶,ky
分,bd
乏,pj
乏,pi
公,bs
仓,re
仓,rj
月,ka
卆,ju
厃,dv
勿,bp
勽,br
欠,dr
风,jy
勼,bj
丹,kd
匀,bd
匀,bb
匀,bn
乌,bg
卬,ke
凤,jy
勾,bs
厹,js
殳,jy
卞,dx
亣,da
六,tb
文,ty
亢,tj
方,tb
方,td
闩,ma
火,br
为,dp
斗,dd
忆,xy
灬,dd
计,yu
订,yh
户,do
礻,dy
讣,yp
认,yr
冗,bj
冘,br
冘,bp
讥,yj
心,py
丮,jd
肀,jl
尹,jp
尹,oa
夬,vd
尺,on
弖,ga
引,gl
丑,ga
爿,la
孔,ly
巴,yl
巴,yd
队,er
队,tr
阞,tl
阞,el
収,jy
丒,ra
刅,db
办,lb
以,gd
允,sy
予,sv
邓,ye
邓,yk
劝,yl
厸,ss
双,yy
书,gg
乣,ky
幻,kg
弍,yd
玉,wd
玊,wd
匞,kg
玌,yy
玌,wy
刊,gd
未,am
末,ma
示,dx
击,du
邗,gk
邗,ge
邘,wk
邘,we
丼,jd
戋,va
圢,th
打,uh
打,oh
打,zh
巧,gk
巧,gm
正,ai
圤,tp
扑,op
扑,up
扑,zp
卉,ug
扒,zb
扒,ub
扒,ob
圥,ty
扏,zj
扏,oj
扏,uj
凷,kt
卭,ge
邛,gk
邛,ge
功,gl
扐,ul
扐,zl
扐,ol
扔,on
扔,un
扔,zn
去,ts
甘,la
艼,zh
艼,ch
艼,qh
世,ll
丗,uk
丗,ll
卌,vl
卌,pl
艾,zy
艾,qy
艾,cy
艽,zj
艽,qj
艽,cj
芁,qj
芁,cj
芁,zj
古,uk
节,ie
艻,zl
艻,cl
艻,ql
艿,zn
艿,cn
艿,qn
芀,qd
芀,zd
芀,cd
本,ma
术,md
札,my
朮,md
朮,uy
刌,cd
辻,vu
辻,zu
可,ak
可,hk
叵,kk
匝,kj
丙,ar
厈,vg
左,ap
厉,vm
丕,fa
右,ap
石,ap
布,ap
厇,vp
夳,dd
夲,du
夰,dp
冭,db
冭,dn
冭,dd
夯,dl
厺,ds
达,zd
达,vd
戊,pv
龙,yp
犮,ap
匛,kj
平,gb
灭,ah
轧,vy
东,ag
匜,ky
劢,ml
卡,dx
卡,dp
仧,dr
北,pb
占,pk
歺,ld
歺,px
卢,po
业,ll
旧,lr
帅,lp
归,lp
且,ya
旦,ra
目,kd
叮,kh
叶,ku
曱,km
甲,ku
申,ku
号,kk
电,ry
田,ku
由,ku
卟,kp
只,kb
叭,kb
史,ky
叺,kr
央,kd
兄,ky
叱,kb
叽,kj
叼,kd
叩,ke
叫,kj
另,kl
叧,kd
叨,kd
叻,kl
叹,ky
亗,ud
冉,ku
甴,ku
帄,jh
屵,uv
皿,ca
罒,bl
冋,kk
邖,ue
邖,uk
屴,ul
囚,kr
四,ky
囜,ks
钅,rw
玍,wa
玍,pw
生,ps
生,na
失,df
失,pf
矢,pt
氕,qp
乍,pm
尓,pa
禾,pm
刋,qd
叐,pa
刉,vd
仨,rs
仠,rg
丘,vm
丘,vg
仕,rm
仜,rg
付,rc
仗,ra
代,ry
仦,rx
仙,ru
仟,rq
仛,rp
仡,rv
仢,ru
仫,rp
伋,rn
们,rm
仪,rd
白,dr
白,pr
仔,rl
他,ry
仞,rr
仭,rd
斥,jd
卮,va
瓜,va
仺,rk
尒,rx
仚,ru
屳,ru
乎,pb
丛,ca
令,ra
用,yl
用,ku
甩,yy
肊,yy
肊,ry
印,aa
印,xa
氐,jd
乐,kx
乐,pl
尔,pv
尔,dx
句,bk
叴,jk
凧,jj
匆,hd
犰,qj
匃,bl
册,kk
卯,ap
卯,xp
犯,qe
犯,qj
匄,bw
处,xp
处,np
外,xp
冬,xb
冬,xn
冬,nd
鸟,bd
夘,xe
务,nl
务,xl
夗,xj
夗,xe
刍,dj
饤,uh
包,bf
饥,uj
主,dw
冮,dg
冮,bg
市,tj
庂,gr
庀,gb
疒,da
疒,dv
邝,ge
邝,gk
立,tb
冯,dm
冯,bm
邙,we
邙,wk
玄,tk
氷,du
闪,mr
兰,bs
半,ba
汀,uh
汀,dh
汁,uu
汁,du
汅,dk
汅,uk
汇,uk
汇,dk
头,dd
汃,ub
汃,db
汄,dr
汄,ur
氿,dj
氿,uj
汈,dd
汈,ud
氻,dl
氻,ul
汉,dy
汉,uy
氾,dj
氾,uj
氾,de
氾,ue
忊,xh
忇,xl
忉,xd
宁,bh
穴,bb
宂,bj
它,bb
宄,bj
讦,yg
讧,yg
讨,yc
戹,hy
写,by
让,yd
衤,dy
礼,iy
礼,uy
冚,bu
讪,yu
讫,yv
讬,yp
训,yv
必,xp
议,yd
讯,yj
记,yf
永,da
讱,yr
司,ga
叏,vi
凥,oj
尻,oj
尼,ob
弗,gp
邔,fk
邔,fe
弘,gs
疋,vp
阢,tw
阢,ew
出,uu
出,kl
出,uk
阡,tq
阡,eq
阣,ev
阣,tv
辽,vl
辽,zl
阠,tj
阠,ej
阤,ty
阤,ey
氶,lg
氹,yu
奵,nh
邚,nk
邚,ne
奶,nn
奴,ny
尕,nx
加,lk
召,dk
皮,pi
皮,vp
辸,zn
辸,vn
边,zl
边,vl
孕,nl
发,pa
发,pb
圣,yt
对,yc
弁,sg
台,sk
矛,yp
纠,sj
驭,my
母,la
幼,kl
丝,ss
廵,zv
弎,ys
弐,ay
匡,kw
耒,dm
耒,ma
耒,aw
邦,fk
邦,fe
玎,yh
玎,wh
兲,wb
玐,yb
玐,wb
玑,wj
玑,yj
玏,yl
玏,wl
式,yg
迀,zg
迀,vg
迂,vw
迂,zw
幵,qg
幵,gg
刑,zd
邢,ze
邢,zk
邞,fe
邞,fk
刓,yd
戎,uv
戎,au
邧,yk
邧,ye
忈,dx
动,yl
迃,va
迃,za
圩,tw
扜,ow
扜,zw
扜,uw
扞,ug
扞,zg
扞,og
圬,ta
扝,za
扝,oa
扝,ua
圭,tt
扗,ot
扗,ut
扗,zt
扛,zg
扛,ug
扛,og
寺,tc
扙,za
扙,ua
扙,oa
扤,uw
扤,zw
扤,ow
圵,td
卋,ul
吉,mk
扣,ok
扣,uk
扣,zk
圲,tq
扦,uq
扦,oq
扦,zq
圪,tv
圫,tp
托,op
托,zp
托,up
扢,zv
扢,ov
扢,uv
扥,zp
扥,up
扥,op
考,lk
考,tp
圳,tv
老,lb
老,tp
圴,tu
圾,tn
巩,gj
扚,ou
扚,uu
扚,zu
执,ow
执,uw
执,zw
扱,on
扱,un
扱,zn
圹,tg
扩,og
扩,zg
扩,ug
扪,um
扪,om
赱,tb
扫,oj
扫,zj
扫,uj
扟,oj
扟,zj
扟,uj
圮,tf
圯,ts
圯,ty
地,ty
扡,zy
扡,oy
扡,uy
场,tg
